L,T,J,D,Bx,By,Bz,seed,therm_sweeps,samples,skip,proposal_width,E_density_mean,E_density_stderr,M_abs_mean,M_abs_stderr,chi_abs,chi_vec,Cv_per_spin,helical_order_mean,helical_order_stderr,helical_susc_like,acceptance_rate,q_peak_final,axis_peak_final,n_peak_final,ml_configs_saved
16,1.4,1,1,0,0,0,2,2000,3000,5,0.6999999999999998,-1.6226238983744048,0.0005227966306706,0.0280567458586107,0.0002290755219546,0.4605857917113336,2.7400521602574934,1.7135259713238364,0.0037420832873867,3.0700365279118375e-05,0.0082725662275697,0.834409716796875,0.3926990816987241,0,1,0
16,1.4,1,1,0,0,0,3,2000,3000,5,0.6999999999999998,-1.6252769174627328,0.0004946568316456,0.0288507131667071,0.0002256639364792,0.4469690856066851,2.871544839704,1.5340275320813557,0.0034180754289571,3.0375819638889305e-05,0.0080985856181482,0.8342368001302082,0.3926990816987241,2,1,0
16,1.4,1,1,0,0,0,4,2000,3000,5,0.6999999999999998,-1.626297786543904,0.0004811925064194,0.0293467415020911,0.0002269791285199,0.4521942289585813,2.952090669120192,1.4516530880319245,0.0042250023939825,4.0465243797598496e-05,0.0143720093017153,0.8342435221354166,0.3926990816987241,0,1,0
16,1.4,1,1,0,0,0,5,2000,3000,5,0.6999999999999998,-1.6234894803427582,0.0005115157230639,0.0280703279067829,0.0002181665461453,0.4177625250989343,2.6262602116193525,1.6403748672259215,0.0043690004947796,3.491944997976731e-05,0.0107025670163555,0.8344885579427083,5.497787143782138,1,14,0
16,1.45,1,1,0,0,0,1,2000,3000,5,0.6999999999999998,-1.5496323773147576,0.0004930209271033,0.02656551122687,0.0001999529596004,0.3388198718750503,2.3120044644701587,1.4206133980956313,0.0039643349574052,3.460287902751473e-05,0.0101470002097708,0.8409243326822917,5.105088062083414,0,13,0
16,1.45,1,1,0,0,0,2,2000,3000,5,0.6999999999999998,-1.5507570277883196,0.0005163823349106,0.0284731119480904,0.0002129737774116,0.3843841471593927,2.652586478935267,1.5584323404739135,0.003834785618282,3.503655505324136e-05,0.010402937665314,0.8409263834635416,5.890486225480862,0,15,0
16,1.45,1,1,0,0,0,3,2000,3000,5,0.6999999999999998,-1.5485884358941815,0.0004846923291678,0.0273461503042687,0.0001977488399164,0.3313912897392212,2.285853408519241,1.3730219851553211,0.0036456133077396,3.0961039957058404e-05,0.0081235204891688,0.8409505208333333,5.890486225480862,2,15,0
16,1.45,1,1,0,0,0,4,2000,3000,5,0.6999999999999998,-1.5459453038968562,0.0005064483216876,0.0265845680089635,0.0002046198741251,0.3548206006865026,2.341170582910185,1.49904776333629,0.0037377614864248,2.803713790648859e-05,0.0066616307456702,0.8411153483072916,5.497787143782138,2,14,0
16,1.45,1,1,0,0,0,5,2000,3000,5,0.6999999999999998,-1.5474272885552498,0.0005142103960575,0.0291851005406258,0.0002349948037948,0.4679826140527534,2.8623776775035044,1.5453501680907569,0.0038963754406299,3.240185545457569e-05,0.008897191966219,0.8409558756510416,0.3926990816987241,1,1,0
16,1.5,1,1,0,0,0,1,2000,3000,5,0.6999999999999998,-1.477253483065353,0.0004924056579403,0.0286561923457307,0.0002421131487141,0.4802050193840678,2.6666419175176386,1.3241730770080795,0.003390202150517,3.1618720162138475e-05,0.0081898984627537,0.8472179361979166,0.7853981633974482,2,2,0
